'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'9510_at'	'ADAMTS1'	1	1	-3	0	0	0	0.0378314158
'23039_at'	'XPO7'	17	-6	1	14	-4	12	0.0378379474
'2030_at'	'SLC29A1'	1	-2	-1	-5	0	6	0.0378826612
'2632_at'	'GBE1'	5	-4	6	1	4	8	0.0379322578
'8287_at'	'USP9Y'	4	2	4	4	6	5	0.0381617563
'23645_at'	'PPP1R15A'	-1	1	-5	16	-1	-2	0.0381881499
'23168_at'	'RTF1'	5	-6	-1	9	8	6	0.0382532698
'9470_at'	'EIF4E2'	4	-4	-6	11	11	10	0.038396806
'6419_at'	'SETMAR'	16	-5	9	-6	15	-5	0.0385368626
'9885_at'	'OSBPL2'	3	4	1	3	12	6	0.0386842657
'51054_at'	'PLEKHA9'	-4	10	13	0	10	9	0.0387007579
'51208_at'	'CLDN18'	1	10	12	1	-3	12	0.0387527892
'64860_at'	'ARMCX5'	5	5	2	1	7	7	0.0388652465
'22856_at'	'CHSY1'	1	-4	0	2	2	1	0.0388963097
'91746_at'	'YTHDC1'	12	14	7	1	14	11	0.038944075
'376267_at'	'RAB15'	17	15	-6	10	-6	17	0.0391218343
'55647_at'	'RAB20'	-2	1	7	2	0	0	0.039124919
'9489_at'	'PGS1'	15	-6	13	8	-3	15	0.0391472695
'5471_at'	'PPAT'	1	2	8	7	8	1	0.0391474493
'9391_at'	'CIAO1'	0	12	2	0	8	9	0.0391729121
'10723_at'	'SLC12A7'	4	5	0	2	5	5	0.0391912598
'9732_at'	'DOCK4'	17	16	2	11	-6	15	0.0393111043
'10939_at'	'AFG3L2'	6	8	1	5	3	2	0.0393607175
'23211_at'	'ZC3H4'	15	15	15	10	12	15	0.0395612709
'1052_at'	'CEBPD'	-1	0	-4	1	-1	-1	0.039628882
'50487_at'	'PLA2G3'	-5	5	12	-3	3	7	0.039675537
'9055_at'	'PRC1'	4	7	3	2	1	7	0.0398377398
'10885_at'	'WDR3'	2	9	8	2	9	2	0.0398392688
'26289_at'	'AK5'	8	8	10	10	-5	2	0.0400046015
'23256_at'	'SCFD1'	8	13	14	9	8	-5	0.0400375968
'9402_at'	'GRAP2'	11	14	11	9	0	-2	0.0401311125
'81034_at'	'SLC25A32'	4	-6	9	-1	6	0	0.0403191173
'9997_at'	'SCO2'	0	-3	7	17	1	14	0.0403264898
'81616_at'	'ACSBG2'	-5	-2	7	-6	-5	3	0.0404489892
'9886_at'	'RHOBTB1'	17	15	12	9	11	12	0.0405451828
'6882_at'	'TAF11'	6	15	15	4	5	11	0.0405565792
'11016_at'	'ATF7'	12	16	1	6	8	0	0.0407433889
'167_at'	'CRISP1'	17	-4	9	0	0	9	0.0407740883
'81562_at'	'LMAN2L'	15	-5	3	-2	15	-4	0.0409424155
'7841_at'	'MOGS'	-4	2	1	5	7	11	0.0410218668
'238_at'	'ALK'	-6	9	-3	-1	-2	-5	0.0410330518
'54551_at'	'MAGEL2'	13	7	7	-3	-4	16	0.0410737393
'7802_at'	'DNALI1'	-2	5	-4	-5	0	-4	0.0414179543
'8165_at'	'AKAP1'	6	6	-2	8	8	5	0.0414555619
'50833_at'	'TAS2R16'	-5	-1	8	11	4	10	0.0415873354
'5777_at'	'PTPN6'	3	8	-3	9	1	4	0.0416436166
'387032_at'	'ZKSCAN4'	8	-2	3	-3	13	-1	0.0416937944
'2965_at'	'GTF2H1'	0	-1	3	9	3	0	0.0421894832
'2880_at'	'GPX5'	12	4	10	11	-2	12	0.0424131288
'3732_at'	'CD82'	13	-1	15	-2	-5	14	0.0427541841
'4045_at'	'LSAMP'	15	16	10	11	12	2	0.0427907188
'54676_at'	'GTPBP2'	6	0	4	4	-1	6	0.0427910051
'29087_at'	'THYN1'	17	9	6	16	-6	14	0.0428004581
'57211_at'	'GPR126'	4	8	11	6	8	8	0.0428394689
'55140_at'	'ELP3'	1	4	2	-3	5	5	0.0428856472
'23538_at'	'OR52A1'	16	0	14	-5	9	-3	0.0429017828
'1834_at'	'DSPP'	9	12	0	16	9	14	0.0429571458
'11226_at'	'GALNT6'	7	-3	8	-2	-5	-2	0.0430370936
'11044_at'	'PAPD7'	5	6	1	5	3	9	0.0430694205
'3067_at'	'HDC'	10	3	-3	-4	-3	8	0.0431142648
'1604_at'	'CD55'	2	-1	-3	-1	-2	0	0.0431277869
'9852_at'	'EPM2AIP1'	4	8	8	-2	10	11	0.0433580357
'7132_at'	'TNFRSF1A'	0	7	0	6	2	2	0.0435444769
'23135_at'	'KDM6B'	-2	4	-3	5	-1	-2	0.0436128359
'51643_at'	'TMBIM4'	13	16	17	-5	12	13	0.0436319155
'11197_at'	'WIF1'	17	17	14	15	16	17	0.0437085786
'79657_at'	'RPAP3'	4	-6	1	-1	3	-1	0.0437273484
'5919_at'	'RARRES2'	13	12	11	-5	-2	-5	0.0437570734
'93973_at'	'ACTR8'	6	-1	4	-6	7	6	0.0438027143
'79726_at'	'WDR59'	15	-4	1	0	-4	12	0.043843987
'54504_at'	'CPVL'	12	5	1	-4	3	2	0.0439140419
'79812_at'	'MMRN2'	0	3	-3	-1	2	-2	0.0441235098
'11320_at'	'MGAT4A'	0	-2	-4	-1	8	4	0.0441836821
'57030_at'	'SLC17A7'	16	2	-6	11	-3	-6	0.0442437721
'6628_at'	'SNRPB'	3	-1	10	7	3	1	0.044279061
'25900_at'	'IFFO1'	4	5	-2	2	4	-1	0.0443259395
'961_at'	'CD47'	17	-4	-4	-4	-6	-4	0.0443343767
'8030_at'	'CCDC6'	12	14	9	12	12	8	0.0443821841
'1649_at'	'DDIT3'	-4	2	3	-4	-1	-1	0.0445428186
'3191_at'	'HNRNPL'	17	6	14	-3	12	-3	0.044670757
'776_at'	'CACNA1D'	14	14	12	8	9	-6	0.0446847795
'55193_at'	'PBRM1'	8	-6	7	-1	10	15	0.0446910787
'26249_at'	'KLHL3'	14	15	-4	10	17	15	0.0447602715
'11022_at'	'TDRKH'	2	4	8	6	-4	1	0.0447643908
'311_at'	'ANXA11'	10	7	14	10	9	6	0.0449466187
'3902_at'	'LAG3'	3	0	-1	13	-1	9	0.0450428111
'8031_at'	'NCOA4'	5	11	5	15	8	8	0.0450626904
'2956_at'	'MSH6'	4	-1	3	0	5	4	0.04518278
'7225_at'	'TRPC6'	17	-1	7	14	-1	4	0.0452869945
'6566_at'	'SLC16A1'	-3	-4	-2	-6	-3	1	0.0453449281
'80128_at'	'TRIM46'	10	0	-3	11	-2	13	0.0453571947
'7089_at'	'TLE2'	-2	6	1	-1	3	12	0.0453932235
'79363_at'	'C1orf89'	12	11	12	14	-6	16	0.0454710613
'1662_at'	'DDX10'	0	8	8	10	-3	10	0.0454907231
'8326_at'	'FZD9'	14	3	2	0	-1	-2	0.0455325333
'79762_at'	'C1orf115'	8	9	7	10	11	17	0.0455761535
'4048_at'	'LTA4H'	17	16	1	15	12	-3	0.0457008245
'3188_at'	'HNRNPH2'	4	11	8	9	10	-3	0.0458580298
'9413_at'	'FAM189A2'	3	3	6	0	2	2	0.0459101487
'51143_at'	'DYNC1LI1'	4	12	7	-1	4	-2	0.0459586374
'2495_at'	'FTH1'	10	11	14	13	12	10	0.0460095349
'80789_at'	'INTS5'	-2	-2	5	6	15	7	0.0460212761
'3257_at'	'HPS1'	2	6	5	-2	6	-3	0.0461517413
'10656_at'	'KHDRBS3'	17	15	12	9	-4	15	0.0461960956
'5176_at'	'SERPINF1'	-2	-3	-1	8	-3	-4	0.0462100983
'60468_at'	'BACH2'	2	17	10	1	15	14	0.0463059057
'7453_at'	'WARS'	1	0	10	1	1	-1	0.0464136042
'6534_at'	'SLC6A7'	17	10	10	6	-4	14	0.0464153038
'8795_at'	'TNFRSF10B'	-3	-1	8	-2	1	-1	0.0464343773
'51593_at'	'SRRT'	14	10	15	12	13	14	0.0465936709
'56252_at'	'YLPM1'	10	16	10	3	-6	12	0.0466229186
'64376_at'	'IKZF5'	13	0	4	-5	-2	2	0.0466437061
'79962_at'	'DNAJC22'	-4	-2	11	17	-1	7	0.0466804841
'79148_at'	'MMP28'	14	8	11	12	13	11	0.0470231781
'5606_at'	'MAP2K3'	-1	6	15	2	2	3	0.047067861
'6549_at'	'SLC9A2'	12	6	7	0	2	16	0.047176896
'1434_at'	'CSE1L'	3	6	5	1	-5	1	0.0473568378
'7444_at'	'VRK2'	9	-5	10	-2	14	13	0.047425047
'56288_at'	'PARD3'	15	15	-5	13	12	0	0.0474829446
'3363_at'	'HTR7'	2	2	2	8	0	11	0.0474916157
'27090_at'	'ST6GALNAC4'	10	5	-2	-4	5	2	0.0475395251
'50809_at'	'HP1BP3'	16	-2	-3	-6	17	3	0.0476041074
'60436_at'	'TGIF2'	1	4	-2	9	16	-1	0.0476423297
'79944_at'	'L2HGDH'	3	-2	-2	6	1	3	0.0479113832
'201254_at'	'STRA13'	-4	0	-1	-1	3	-2	0.047913626
'2852_at'	'GPER'	6	9	-4	2	6	9	0.0479872978
'64866_at'	'CDCP1'	10	12	0	0	-3	-3	0.0480072576
'7503_at'	'XIST'	-6	-6	15	17	14	-6	0.0481992376
'6916_at'	'TBXAS1'	-6	8	7	12	4	5	0.0487571422
'6752_at'	'SSTR2'	17	2	12	8	-6	-4	0.0487725783
'63926_at'	'ANKRD5'	-3	5	14	0	5	7	0.0487830153
'8554_at'	'PIAS1'	1	5	-5	12	7	-1	0.0488030788
'54981_at'	'C9orf95'	0	3	-1	0	0	0	0.0488313968
'1380_at'	'CR2'	-4	1	4	-1	-3	8	0.0488395456
'59335_at'	'PRDM12'	-4	11	-6	-5	6	-3	0.0488517833
'8460_at'	'TPST1'	3	3	5	1	-1	-1	0.0488640334
'2560_at'	'GABRB1'	-5	14	14	14	15	17	0.0489065197
'51385_at'	'ZNF589'	-6	-2	10	-2	4	3	0.0489868805
'1659_at'	'DHX8'	-4	15	1	6	4	6	0.0491865405
'27236_at'	'ARFIP1'	6	-6	6	16	9	2	0.0493171345
'80781_at'	'COL18A1'	5	9	5	0	2	11	0.0493310915
'8284_at'	'KDM5D'	6	6	4	7	7	9	0.0493596197
'10868_at'	'USP20'	6	8	3	4	6	10	0.0497507254
'200081_at'	'TXLNA'	3	14	9	0	2	-4	0.0499710016
'643_at'	'CXCR5'	15	9	-1	10	-4	10	0.0500193977
'6241_at'	'RRM2'	-5	5	16	14	11	5	0.0501005272
'7036_at'	'TFR2'	10	8	-4	13	11	13	0.0504484993
'23404_at'	'EXOSC2'	5	7	3	11	10	8	0.0506504899
'26053_at'	'AUTS2'	-6	14	-6	15	15	-5	0.0507423699
'6483_at'	'ST3GAL2'	12	16	13	5	12	8	0.0507994552
'81571_at'	'C9orf45'	-5	2	12	6	-1	17	0.0509001575
'5268_at'	'SERPINB5'	0	17	0	16	0	1	0.0509326922
'10153_at'	'CEBPZ'	9	11	10	3	13	0	0.050960227
'11248_at'	'NXPH3'	16	11	8	6	8	14	0.0509662302
'7175_at'	'TPR'	10	10	1	-2	13	8	0.0510748573
'28974_at'	'C19orf53'	15	16	11	16	8	17	0.0511641845
'79071_at'	'ELOVL6'	10	13	-5	-2	7	13	0.0511718192
'117178_at'	'SSX2IP'	6	10	9	9	12	6	0.0511855432
'6192_at'	'RPS4Y1'	6	7	5	10	6	9	0.0511957162
'5540_at'	'PPYR1'	7	12	-1	10	6	15	0.0511981246
'79853_at'	'TM4SF20'	-5	9	15	6	1	10	0.0512218747
